,Drug-Gene Pair Cluster,Dependency Path Cluster
486,23.0,0.0
487,18.0,0.0
488,23.0,0.0
489,19.0,111.0
490,6.0,0.0
491,8.0,0.0
492,9.0,72.0
493,28.0,100.0
494,19.0,10.0
495,14.0,35.0
496,7.0,102.0
497,14.0,92.0
498,26.0,10.0
499,0.0,7.0
500,26.0,33.0
501,17.0,10.0
502,4.0,45.0
503,2.0,105.0
504,13.0,20.0
505,0.0,0.0
506,14.0,12.0
507,17.0,33.0
508,2.0,41.0
509,0.0,0.0
510,2.0,0.0
511,23.0,0.0
512,16.0,0.0
513,26.0,46.0
514,18.0,0.0
515,2.0,77.0
516,23.0,31.0
517,14.0,28.0
518,23.0,119.0
519,25.0,106.0
520,2.0,43.0
521,2.0,106.0
522,14.0,61.0
523,14.0,90.0
524,23.0,90.0
525,10.0,37.0
526,13.0,90.0
527,2.0,90.0
528,9.0,102.0
529,8.0,90.0
530,2.0,90.0
531,2.0,26.0
532,28.0,37.0
533,13.0,0.0
534,23.0,57.0
535,2.0,65.0
536,18.0,0.0
537,5.0,0.0
538,14.0,0.0
539,2.0,0.0
540,4.0,103.0
541,14.0,0.0
542,23.0,0.0
543,23.0,18.0
544,18.0,0.0
545,14.0,70.0
546,18.0,0.0
547,8.0,17.0
548,26.0,0.0
549,2.0,5.0
550,13.0,36.0
551,1.0,102.0
552,18.0,0.0
553,14.0,56.0
554,3.0,0.0
555,29.0,0.0
556,10.0,0.0
557,14.0,102.0
558,2.0,0.0
559,16.0,0.0
560,2.0,0.0
561,14.0,42.0
562,2.0,95.0
563,18.0,0.0
564,29.0,0.0
565,0.0,24.0
566,4.0,0.0
567,4.0,58.0
568,2.0,0.0
569,14.0,56.0
570,18.0,84.0
571,7.0,57.0
572,14.0,0.0
573,2.0,0.0
574,9.0,0.0
575,9.0,0.0
576,0.0,0.0
577,21.0,0.0
578,0.0,97.0
579,18.0,23.0
580,18.0,0.0
581,26.0,0.0
582,25.0,0.0
583,18.0,0.0
584,2.0,0.0
585,2.0,94.0
586,0.0,46.0
587,15.0,40.0
588,6.0,72.0
589,11.0,72.0
590,18.0,11.0
591,12.0,0.0
592,22.0,31.0
593,0.0,0.0
594,10.0,24.0
595,23.0,121.0
596,18.0,0.0
597,21.0,0.0
598,8.0,0.0
599,2.0,0.0
600,11.0,0.0
601,14.0,0.0
602,14.0,0.0
603,18.0,0.0
604,20.0,10.0
605,3.0,117.0
606,4.0,104.0
607,22.0,0.0
608,14.0,60.0
609,0.0,0.0
610,29.0,0.0
611,26.0,117.0
612,2.0,0.0
613,14.0,102.0
614,16.0,0.0
615,26.0,0.0
616,23.0,46.0
617,0.0,0.0
618,14.0,0.0
619,2.0,0.0
620,22.0,0.0
621,2.0,56.0
